reporting_location,summary
Victor Harbor,Add summary text for Victor Harbor
The Pages,Add summary text for The Pages
Sponge Gardens,Add summary text for Sponge Gardens
Bay of Shoals,Add summary text for Bay of Shoals
Rapid Head,Add summary text for Rapid Head
Carrickalinga,Add summary text for Carrickalinga
Aldinga,Add summary text for Aldinga
Port Noarlunga,Add summary text for Port Noarlunga
Glenelg,"Pre-algal bloom Glenelg had a diverse mix of species with abundance spread relatively evenly across them. During the algal bloom, the community has had a dramatic shift with species richness and abundance declining across the board, and the site now being heavily dominated by Bluefin leatherjackets. Site attached fish have decreased by > 90 % and no sharks or rays were present.  Glenelg"
Middle/Long Spit,Add summary text for Middle/Long Spit
Offshore Ardrossan,"At Offshore Ardrossan, the number of species has significantly declined, as well as the abundance of most species, with only Bluefin leatherjackets increasing. Bluefin leatherjackets had high relative abundance pre-algal bloom, but this was offset by smaller numbers of a diverse range of species. During the algal bloom, overall diversity has decreased and bluefin leatherjackets now account for > 90 % of observations.  Site attached fish have declined overall, however there were more species present within the Sanctuary Zone. The complete absence of sharks or rays is concerning as these top predators were previously an important component of the food web. Offshore Ardrossan"
Windara Reef,"Windara has had a decrease in the number of fish species present, although less dramatic than at the other sites. There has however still been a significant decline in site attached fish species and sharks and rays. Fish abundance has increased, driven by Bluefin leatherjackets. Relative abundance has also transitioned from a healthy even distribution of different species to being heavily dominated by Bluefin leatherjackets.Windara Reef"
Edithburgh,Add summary text for Edithburgh
Orcades Bank,Add summary text for Orcades Bank
Chinamans Hat,"Chinamans Hat has remained relatively stable across all metrics, experiencing small declines in richness and abundance, moderate declines in site attached fish richness and a slight increase in shark and ray species. The community composition has also remained stable with the top species consistent pre and during algal bloom, with a slight shift in their abundances. Chinamans Hat"
Cape Elizabeth,Add summary text for Cape Elizabeth
Cuttlefish Coast,Add summary text for Cuttlefish Coast
Port Gibbon,"All metrics at Port Gibbon have increased or remained stable except shark and ray species richness which has declined 71 % compared to pre-bloom levels. Fish species richness has increased, however the composition of the community has changed with the dominant species shifting from yellowtail scad to bridled leather jackets. Port Gibbon"
Dangerous Reef,Add summary text for Dangerous Reef
Boston Bay,Add summary text for Boston Bay
